Année,Population,Sexe,Tranche d'âge,Population au premier janvier
1946.0,40125230.0,Tout,Tout,
1947.0,40448254.0,Tout,Tout,
1948.0,40910569.0,Tout,Tout,
1949.0,41313195.0,Tout,Tout,
1950.0,41647258.0,Tout,Tout,
1951.0,42010088.0,Tout,Tout,
1952.0,42300981.0,Tout,Tout,
1953.0,42618354.0,Tout,Tout,
1954.0,42885138.0,Tout,Tout,
1955.0,43227872.0,Tout,Tout,
1956.0,43627467.0,Tout,Tout,
1957.0,44058683.0,Tout,Tout,
1958.0,44563043.0,Tout,Tout,
1959.0,45014662.0,Tout,Tout,
1960.0,45464797.0,Tout,Tout,
1961.0,45903656.0,Tout,Tout,
1962.0,46422000.0,Tout,Tout,
1963.0,47573406.0,Tout,Tout,
1964.0,48059029.0,Tout,Tout,
1965.0,48561800.0,Tout,Tout,
1966.0,48953792.0,Tout,Tout,
1967.0,49373537.0,Tout,Tout,
1968.0,49723072.0,Tout,Tout,
1969.0,50107735.0,Tout,Tout,
1970.0,50528219.0,Tout,Tout,
1971.0,51016234.0,Tout,Tout,
1972.0,51485953.0,Tout,Tout,
1973.0,51915873.0,Tout,Tout,
1974.0,52320725.0,Tout,Tout,
1975.0,52600000.0,Tout,Tout,
1976.0,52798338.0,Tout,Tout,
1977.0,53019005.0,Tout,Tout,
1978.0,53271566.0,Tout,Tout,
1979.0,53481073.0,Tout,Tout,
1980.0,53731387.0,Tout,Tout,
1981.0,54028630.0,Tout,Tout,
1982.0,54335000.0,Tout,Tout,
1983.0,54649984.0,Tout,Tout,
1984.0,54894854.0,Tout,Tout,
1985.0,55157303.0,Tout,Tout,
1986.0,55411238.0,Tout,Tout,
1987.0,55681780.0,Tout,Tout,
1988.0,55966142.0,Tout,Tout,
1989.0,56269810.0,Tout,Tout,
1990.0,56577000.0,Tout,Tout,
1991.0,56840661.0,Tout,Tout,
1992.0,57110533.0,Tout,Tout,
1993.0,57369161.0,Tout,Tout,
1994.0,57565008.0,Tout,Tout,
1995.0,57752535.0,Tout,Tout,
1996.0,57935959.0,Tout,Tout,
1997.0,58116018.0,Tout,Tout,
1998.0,58298962.0,Tout,Tout,
1999.0,58496613.0,Tout,Tout,
2000.0,58858198.0,Tout,Tout,
2001.0,59266572.0,Tout,Tout,
2002.0,59685899.0,Tout,Tout,
2003.0,60101841.0,Tout,Tout,
2004.0,60505421.0,Tout,Tout,
2005.0,60963264.0,Tout,Tout,
2006.0,61399733.0,Tout,Tout,
2007.0,61795238.0,Tout,Tout,
2008.0,62134866.0,Tout,Tout,
2009.0,62465709.0,Tout,Tout,
2010.0,62765235.0,Tout,Tout,
2011.0,63070344.0,Tout,Tout,
2012.0,63375971.0,Tout,Tout,
2013.0,63697865.0,Tout,Tout,
2014.0,64027958.0,Tout,Tout,
2015.0,64300821.0,Tout,Tout,
2016.0,64468792.0,Tout,Tout,
2017.0,64639133.0,Tout,Tout,
2018.0,64844037.0,Tout,Tout,
2019.0,65096768.0,Tout,Tout,
2020.0,65269154.0,Tout,Tout,
2021.0,65450219.0,Tout,Tout,
2022.0,65646837.0,Tout,Tout,
,,Tout,Tout,
,,Tout,Tout,
,,Tout,Tout,
,,Tout,Tout,
,,Tout,Tout,
,,Tout,Tout,
1946.0,4341199.0,,,40125230.0
1947.0,4411244.0,,,40448254.0
1948.0,4525043.0,,,40910569.0
1949.0,4643400.0,,,41313195.0
1950.0,4755409.0,,,41647258.0
1951.0,4880335.0,,,42010088.0
1952.0,4993160.0,,,42300981.0
1953.0,5107678.0,,,42618354.0
1954.0,5217479.0,,,42885138.0
1955.0,5335817.0,,,43227872.0
1956.0,5484437.0,,,43627467.0
1957.0,5659080.0,,,44058683.0
1958.0,5820755.0,,,44563043.0
1959.0,5944471.0,,,45014662.0
1960.0,6074169.0,,,45464797.0
1961.0,6196016.0,,,45903656.0
1962.0,6233219.0,,,46422000.0
1963.0,6312326.0,,,47573406.0
1964.0,6336127.0,,,48059029.0
1965.0,6359916.0,,,48561800.0
1966.0,6362359.0,,,48953792.0
1967.0,6383102.0,,,49373537.0
1968.0,6382547.0,,,49723072.0
1969.0,6401323.0,,,50107735.0
1970.0,6418238.0,,,50528219.0
1971.0,6445316.0,,,51016234.0
1972.0,6480157.0,,,51485953.0
1973.0,6504033.0,,,51915873.0
1974.0,6511625.0,,,52320725.0
1975.0,6469442.0,,,52600000.0
1976.0,6426669.0,,,52798338.0
1977.0,6364883.0,,,53019005.0
1978.0,6320191.0,,,53271566.0
1979.0,6253502.0,,,53481073.0
1980.0,6193763.0,,,53731387.0
1981.0,6161342.0,,,54028630.0
1982.0,6133284.0,,,54335000.0
1983.0,6118246.0,,,54649984.0
1984.0,6077729.0,,,54894854.0
1985.0,6034843.0,,,55157303.0
1986.0,5988989.0,,,55411238.0
1987.0,5936121.0,,,55681780.0
1988.0,5879948.0,,,55966142.0
1989.0,5840091.0,,,56269810.0
1990.0,5825950.0,,,56577000.0
1991.0,5833597.0,,,56840661.0
1992.0,5851110.0,,,57110533.0
1993.0,5846153.0,,,57369161.0
1994.0,5827481.0,,,57565008.0
1995.0,5797225.0,,,57752535.0
1996.0,5753770.0,,,57935959.0
1997.0,5714442.0,,,58116018.0
1998.0,5677156.0,,,58298962.0
1999.0,5670252.0,,,58496613.0
2000.0,5690404.0,,,58858198.0
2001.0,5717861.0,,,59266572.0
2002.0,5731275.0,,,59685899.0
2003.0,5741079.0,,,60101841.0
2004.0,5743711.0,,,60505421.0
2005.0,5752594.0,,,60963264.0
2006.0,5763808.0,,,61399733.0
2007.0,5797150.0,,,61795238.0
2008.0,5822253.0,,,62134866.0
2009.0,5867279.0,,,62465709.0
2010.0,5907101.0,,,62765235.0
2011.0,5941265.0,,,63070344.0
2012.0,5973817.0,,,63375971.0
2013.0,6011490.0,,,63697865.0
2014.0,6027041.0,,,64027958.0
2015.0,6032124.0,,,64300821.0
2016.0,6002321.0,,,64468792.0
2017.0,5972195.0,,,64639133.0
2018.0,5949101.0,,,64844037.0
2019.0,5921571.0,,,65096768.0
2020.0,5885710.0,,,65269154.0
2021.0,5850738.0,,,65450219.0
2022.0,5805852.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,5972344.0,,,40125230.0
1947.0,6041163.0,,,40448254.0
1948.0,6169533.0,,,40910569.0
1949.0,6270028.0,,,41313195.0
1950.0,6369424.0,,,41647258.0
1951.0,6450394.0,,,42010088.0
1952.0,6524893.0,,,42300981.0
1953.0,6601236.0,,,42618354.0
1954.0,6688258.0,,,42885138.0
1955.0,6783368.0,,,43227872.0
1956.0,6903839.0,,,43627467.0
1957.0,7038887.0,,,44058683.0
1958.0,7194933.0,,,44563043.0
1959.0,7331768.0,,,45014662.0
1960.0,7473291.0,,,45464797.0
1961.0,7637936.0,,,45903656.0
1962.0,7835840.0,,,46422000.0
1963.0,8105601.0,,,47573406.0
1964.0,8264240.0,,,48059029.0
1965.0,8420382.0,,,48561800.0
1966.0,8545090.0,,,48953792.0
1967.0,8572004.0,,,49373537.0
1968.0,8556725.0,,,49723072.0
1969.0,8534949.0,,,50107735.0
1970.0,8529220.0,,,50528219.0
1971.0,8546076.0,,,51016234.0
1972.0,8590195.0,,,51485953.0
1973.0,8623287.0,,,51915873.0
1974.0,8648742.0,,,52320725.0
1975.0,8623235.0,,,52600000.0
1976.0,8587539.0,,,52798338.0
1977.0,8535010.0,,,53019005.0
1978.0,8490408.0,,,53271566.0
1979.0,8439834.0,,,53481073.0
1980.0,8394805.0,,,53731387.0
1981.0,8377919.0,,,54028630.0
1982.0,8354781.0,,,54335000.0
1983.0,8343002.0,,,54649984.0
1984.0,8290504.0,,,54894854.0
1985.0,8235204.0,,,55157303.0
1986.0,8187226.0,,,55411238.0
1987.0,8146606.0,,,55681780.0
1988.0,8110575.0,,,55966142.0
1989.0,8079276.0,,,56269810.0
1990.0,8039675.0,,,56577000.0
1991.0,7981366.0,,,56840661.0
1992.0,7915208.0,,,57110533.0
1993.0,7842409.0,,,57369161.0
1994.0,7765056.0,,,57565008.0
1995.0,7714652.0,,,57752535.0
1996.0,7700740.0,,,57935959.0
1997.0,7700939.0,,,58116018.0
1998.0,7685889.0,,,58298962.0
1999.0,7682497.0,,,58496613.0
2000.0,7695796.0,,,58858198.0
2001.0,7706472.0,,,59266572.0
2002.0,7717913.0,,,59685899.0
2003.0,7731264.0,,,60101841.0
2004.0,7766148.0,,,60505421.0
2005.0,7796359.0,,,60963264.0
2006.0,7814800.0,,,61399733.0
2007.0,7838862.0,,,61795238.0
2008.0,7850203.0,,,62134866.0
2009.0,7864098.0,,,62465709.0
2010.0,7882609.0,,,62765235.0
2011.0,7901666.0,,,63070344.0
2012.0,7908343.0,,,63375971.0
2013.0,7939908.0,,,63697865.0
2014.0,7977349.0,,,64027958.0
2015.0,8006756.0,,,64300821.0
2016.0,8004668.0,,,64468792.0
2017.0,7992828.0,,,64639133.0
2018.0,7990698.0,,,64844037.0
2019.0,7983456.0,,,65096768.0
2020.0,7951079.0,,,65269154.0
2021.0,7912558.0,,,65450219.0
2022.0,7883073.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,10501377.0,,,40125230.0
1947.0,10590786.0,,,40448254.0
1948.0,10721341.0,,,40910569.0
1949.0,10818245.0,,,41313195.0
1950.0,10904179.0,,,41647258.0
1951.0,11019702.0,,,42010088.0
1952.0,11107289.0,,,42300981.0
1953.0,11197515.0,,,42618354.0
1954.0,11257453.0,,,42885138.0
1955.0,11332508.0,,,43227872.0
1956.0,11409127.0,,,43627467.0
1957.0,11466613.0,,,44058683.0
1958.0,11529422.0,,,44563043.0
1959.0,11568030.0,,,45014662.0
1960.0,11588381.0,,,45464797.0
