Date,Currency,Currency Amount,Exchange Rate,USD Equivalent,Year,Month
1981-01-02,Deutsche mark,0.46,1.974,0.233029,1981,January
1981-01-02,French franc,0.74,4.56,0.162281,1981,January
1981-01-02,Japanese yen,34.0,202.87,0.167595,1981,January
1981-01-02,U.K. pound,0.071,2.378,0.168838,1981,January
1981-01-02,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-05,Deutsche mark,0.46,1.957,0.235054,1981,January
1981-01-05,French franc,0.74,4.5352,0.163168,1981,January
1981-01-05,Japanese yen,34.0,199.67,0.170281,1981,January
1981-01-05,U.K. pound,0.071,2.402,0.170542,1981,January
1981-01-05,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-06,Deutsche mark,0.46,1.9312,0.238194,1981,January
1981-01-06,French franc,0.74,4.4745,0.165382,1981,January
1981-01-06,Japanese yen,34.0,199.42,0.170494,1981,January
1981-01-06,U.K. pound,0.071,2.4255,0.172211,1981,January
1981-01-06,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-07,Deutsche mark,0.46,1.94,0.237113,1981,January
1981-01-07,French franc,0.74,4.487,0.164921,1981,January
1981-01-07,Japanese yen,34.0,200.2,0.16983,1981,January
1981-01-07,U.K. pound,0.071,2.4205,0.171856,1981,January
1981-01-07,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-08,Deutsche mark,0.46,1.9624,0.234407,1981,January
1981-01-08,French franc,0.74,4.5347,0.163186,1981,January
1981-01-08,Japanese yen,34.0,201.17,0.169011,1981,January
1981-01-08,U.K. pound,0.071,2.4033,0.170634,1981,January
1981-01-08,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-09,Deutsche mark,0.46,1.9672,0.233835,1981,January
1981-01-09,French franc,0.74,4.5462,0.162773,1981,January
1981-01-09,Japanese yen,34.0,202.15,0.168192,1981,January
1981-01-09,U.K. pound,0.071,2.4017,0.170521,1981,January
1981-01-09,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-12,Deutsche mark,0.46,1.9745,0.23297,1981,January
1981-01-12,French franc,0.74,4.563,0.162174,1981,January
1981-01-12,Japanese yen,34.0,203.05,0.167446,1981,January
1981-01-12,U.K. pound,0.071,2.4035,0.170649,1981,January
1981-01-12,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-13,Deutsche mark,0.46,2.0003,0.229966,1981,January
1981-01-13,French franc,0.74,4.6295,0.159844,1981,January
1981-01-13,Japanese yen,34.0,204.17,0.166528,1981,January
1981-01-13,U.K. pound,0.071,2.3867,0.169456,1981,January
1981-01-13,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-14,Deutsche mark,0.46,1.9925,0.230866,1981,January
1981-01-14,French franc,0.74,4.6117,0.160461,1981,January
1981-01-14,Japanese yen,34.0,203.07,0.16743,1981,January
1981-01-14,U.K. pound,0.071,2.394,0.169974,1981,January
1981-01-14,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-15,Deutsche mark,0.46,2.0005,0.229943,1981,January
1981-01-15,French franc,0.74,4.6282,0.159889,1981,January
1981-01-15,Japanese yen,34.0,202.87,0.167595,1981,January
1981-01-15,U.K. pound,0.071,2.399,0.170329,1981,January
1981-01-15,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-16,Deutsche mark,0.46,2.0172,0.228039,1981,January
1981-01-16,French franc,0.74,4.6597,0.158809,1981,January
1981-01-16,Japanese yen,34.0,202.67,0.16776,1981,January
1981-01-16,U.K. pound,0.071,2.3995,0.170365,1981,January
1981-01-16,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-19,Deutsche mark,0.46,2.0009,0.229897,1981,January
1981-01-19,French franc,0.74,4.6287,0.159872,1981,January
1981-01-19,Japanese yen,34.0,201.6,0.168651,1981,January
1981-01-19,U.K. pound,0.071,2.4158,0.171522,1981,January
1981-01-19,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-20,Deutsche mark,0.46,2.006,0.229312,1981,January
1981-01-20,French franc,0.74,4.6382,0.159545,1981,January
1981-01-20,Japanese yen,34.0,201.42,0.168802,1981,January
1981-01-20,U.K. pound,0.071,2.4115,0.171217,1981,January
1981-01-20,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-21,Deutsche mark,0.46,1.9885,0.23133,1981,January
1981-01-21,French franc,0.74,4.604,0.16073,1981,January
1981-01-21,Japanese yen,34.0,198.5,0.171285,1981,January
1981-01-21,U.K. pound,0.071,2.426,0.172246,1981,January
1981-01-21,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-22,Deutsche mark,0.46,2.0107,0.228776,1981,January
1981-01-22,French franc,0.74,4.6505,0.159123,1981,January
1981-01-22,Japanese yen,34.0,200.47,0.169601,1981,January
1981-01-22,U.K. pound,0.071,2.4178,0.171664,1981,January
1981-01-22,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-23,Deutsche mark,0.46,2.0285,0.226769,1981,January
1981-01-23,French franc,0.74,4.687,0.157884,1981,January
1981-01-23,Japanese yen,34.0,201.72,0.16855,1981,January
