Year,Month,Currency,Currency Amount,Exchange Rate,USD Equivalent
1981,April,Deutsche mark,0.46,2.2145,0.207722
1981,April,French franc,0.74,5.254,0.140845
1981,April,Japanese yen,34.0,215.13,0.158044
1981,April,U.K. pound,0.071,2.1404,0.151968
1981,April,U.S. dollar,0.54,1.0,0.54
1981,August,Deutsche mark,0.46,2.447,0.187985
1981,August,French franc,0.74,5.8625,0.126226
1981,August,Japanese yen,34.0,230.45,0.147537
1981,August,U.K. pound,0.071,1.8445,0.13096
1981,August,U.S. dollar,0.54,1.0,0.54
1981,December,Deutsche mark,0.46,2.2525,0.204218
1981,December,French franc,0.74,5.715,0.129484
1981,December,Japanese yen,34.0,219.65,0.154792
1981,December,U.K. pound,0.071,1.908,0.135468
1981,December,U.S. dollar,0.54,1.0,0.54
1981,February,Deutsche mark,0.46,2.128,0.216165
1981,February,French franc,0.74,4.9975,0.148074
1981,February,Japanese yen,34.0,209.2,0.162524
1981,February,U.K. pound,0.071,2.2045,0.15652
1981,February,U.S. dollar,0.54,1.0,0.54
1981,January,Deutsche mark,0.46,2.1145,0.217546
1981,January,French franc,0.74,4.87,0.151951
1981,January,Japanese yen,34.0,205.72,0.165273
1981,January,U.K. pound,0.071,2.386,0.169406
1981,January,U.S. dollar,0.54,1.0,0.54
1981,July,Deutsche mark,0.46,2.4645,0.18665
1981,July,French franc,0.74,5.8375,0.126767
1981,July,Japanese yen,34.0,239.37,0.14204
1981,July,U.K. pound,0.071,1.856,0.131776
1981,July,U.S. dollar,0.54,1.0,0.54
1981,June,Deutsche mark,0.46,2.391,0.192388
1981,June,French franc,0.74,5.7042,0.129729
1981,June,Japanese yen,34.0,225.85,0.150542
1981,June,U.K. pound,0.071,1.9428,0.137939
1981,June,U.S. dollar,0.54,1.0,0.54
1981,March,Deutsche mark,0.46,2.102,0.218839
1981,March,French franc,0.74,4.9595,0.149209
1981,March,Japanese yen,34.0,211.0,0.161137
1981,March,U.K. pound,0.071,2.2442,0.159338
1981,March,U.S. dollar,0.54,1.0,0.54
1981,May,Deutsche mark,0.46,2.326,0.197764
1981,May,French franc,0.74,5.5375,0.133634
1981,May,Japanese yen,34.0,223.95,0.15182
1981,May,U.K. pound,0.071,2.0695,0.146935
1981,May,U.S. dollar,0.54,1.0,0.54
1981,November,Deutsche mark,0.46,2.2037,0.20874
1981,November,French franc,0.74,5.5582,0.133137
1981,November,Japanese yen,34.0,213.87,0.158975
1981,November,U.K. pound,0.071,1.97,0.13987
1981,November,U.S. dollar,0.54,1.0,0.54
1981,October,Deutsche mark,0.46,2.2552,0.203973
1981,October,French franc,0.74,5.6675,0.130569
1981,October,Japanese yen,34.0,233.45,0.145641
1981,October,U.K. pound,0.071,1.845,0.130995
1981,October,U.S. dollar,0.54,1.0,0.54
1981,September,Deutsche mark,0.46,2.3235,0.197977
1981,September,French franc,0.74,5.5762,0.132707
1981,September,Japanese yen,34.0,232.75,0.146079
1981,September,U.K. pound,0.071,1.8005,0.127836
1981,September,U.S. dollar,0.54,1.0,0.54
