time,temperature,indice_base_100
1950,11.64,100.0
1951,11.36,97.59
1952,11.36,97.59
1953,11.39,97.85
1954,10.58,90.89
1955,11.52,98.97
1956,10.05,86.34
1957,11.37,97.68
1958,11.46,98.45
1959,12.18,104.64
1960,11.37,97.68
1961,12.45,106.96
1962,10.83,93.04
1963,10.33,88.75
1964,11.66,100.17
1965,10.76,92.44
1966,11.23,96.48
1967,11.37,97.68
1968,11.13,95.62
1969,10.76,92.44
1970,10.84,93.13
1971,10.89,93.56
1972,10.98,94.33
1973,10.85,93.21
1974,11.07,95.1
1975,11.03,94.76
1976,11.21,96.31
1977,11.13,95.62
1978,10.72,92.1
1979,11.13,95.62
1980,10.47,89.95
1981,11.07,95.1
1982,12.11,104.04
1983,11.9,102.23
1984,10.92,93.81
1985,10.92,93.81
1986,11.6,99.66
1987,11.56,99.31
1988,12.09,103.87
1989,12.67,108.85
1990,12.36,106.19
1991,11.87,101.98
1992,12.1,103.95
1993,11.97,102.84
1994,13.11,112.63
1995,11.97,102.84
1996,11.4,97.94
1997,12.69,109.02
1998,11.86,101.89
1999,12.04,103.44
2000,12.45,106.96
2001,12.25,105.24
2002,12.64,108.59
2003,13.34,114.6
2004,12.15,104.38
2005,11.85,101.8
2006,12.9,110.82
2007,12.28,105.5
2008,12.06,103.61
2009,12.85,110.4
2010,11.32,97.25
2011,13.38,114.95
2012,12.46,107.04
2013,11.71,100.6
2014,13.17,113.14
2015,13.29,114.18
2016,12.7,109.11
2017,13.11,112.63
2018,14.05,120.7
2019,13.6,116.84
2020,14.19,121.91
2021,12.74,109.45
2022,14.83,127.41
2023,14.15,121.56
2024,13.68,117.53
