Date,Currency,Exchange Rate,USD Equivalent,Percent Change
02/01/1981,Deutsche mark,0.4600,1.97400,0.233029
02/01/1981,French franc,0.7400,4.56000,0.162281
02/01/1981,Japanese yen,34.0000,202.87000,0.167595
02/01/1981,U.K. pound,0.0710,2.37800,0.168838
02/01/1981,U.S. dollar,0.5400,1.00000,0.540000
05/01/1981,Deutsche mark,0.4600,1.95700,0.235054
05/01/1981,French franc,0.7400,4.53520,0.163168
05/01/1981,Japanese yen,34.0000,199.67000,0.170281
05/01/1981,U.K. pound,0.0710,2.40200,0.170542
05/01/1981,U.S. dollar,0.5400,1.00000,0.540000
06/01/1981,Deutsche mark,0.4600,1.93120,0.238194
06/01/1981,French franc,0.7400,4.47450,0.165382
06/01/1981,Japanese yen,34.0000,199.42000,0.170494
06/01/1981,U.K. pound,0.0710,2.42550,0.172211
06/01/1981,U.S. dollar,0.5400,1.00000,0.540000
07/01/1981,Deutsche mark,0.4600,1.94000,0.237113
07/01/1981,French franc,0.7400,4.48700,0.164921
07/01/1981,Japanese yen,34.0000,200.20000,0.169830
07/01/1981,U.K. pound,0.0710,2.42050,0.171856
07/01/1981,U.S. dollar,0.5400,1.00000,0.540000
08/01/1981,Deutsche mark,0.4600,1.96240,0.234407
08/01/1981,French franc,0.7400,4.53470,0.163186
08/01/1981,Japanese yen,34.0000,201.17000,0.169011
08/01/1981,U.K. pound,0.0710,2.40330,0.170634
08/01/1981,U.S. dollar,0.5400,1.00000,0.540000
09/01/1981,Deutsche mark,0.4600,1.96720,0.233835
09/01/1981,French franc,0.7400,4.54620,0.162773
09/01/1981,Japanese yen,34.0000,202.15000,0.168192
09/01/1981,U.K. pound,0.0710,2.40170,0.170521
09/01/1981,U.S. dollar,0.5400,1.00000,0.540000
12/01/1981,Deutsche mark,0.4600,1.97450,0.232970
12/01/1981,French franc,0.7400,4.56300,0.162174
12/01/1981,Japanese yen,34.0000,203.05000,0.167446
12/01/1981,U.K. pound,0.0710,2.40350,0.170649
12/01/1981,U.S. dollar,0.5400,1.00000,0.540000
13/01/1981,Deutsche mark,0.4600,2.00030,0.229966
13/01/1981,French franc,0.7400,4.62950,0.159844
13/01/1981,Japanese yen,34.0000,204.17000,0.166528
13/01/1981,U.K. pound,0.0710,2.38670,0.169456
13/01/1981,U.S. dollar,0.5400,1.00000,0.540000
14/01/1981,Deutsche mark,0.4600,1.99250,0.230866
14/01/1981,French franc,0.7400,4.61170,0.160461
14/01/1981,Japanese yen,34.0000,203.07000,0.167430
14/01/1981,U.K. pound,0.0710,2.39400,0.169974
14/01/1981,U.S. dollar,0.5400,1.00000,0.540000
15/01/1981,Deutsche mark,0.4600,2.00050,0.229943
15/01/1981,French franc,0.7400,4.62820,0.159889
15/01/1981,Japanese yen,34.0000,202.87000,0.167595
15/01/1981,U.K. pound,0.0710,2.39900,0.170329
15/01/1981,U.S. dollar,0.5400,1.00000,0.540000
16/01/1981,Deutsche mark,0.4600,2.01720,0.228039
16/01/1981,French franc,0.7400,4.65970,0.158809
16/01/1981,Japanese yen,34.0000,202.67000,0.167760
16/01/1981,U.K. pound,0.0710,2.39950,0.170365
16/01/1981,U.S. dollar,0.5400,1.00000,0.540000
19/01/1981,Deutsche mark,0.4600,2.00090,0.229897
19/01/1981,French franc,0.7400,4.62870,0.159872
19/01/1981,Japanese yen,34.0000,201.60000,0.168651
19/01/1981,U.K. pound,0.0710,2.41580,0.171522
19/01/1981,U.S. dollar,0.5400,1.00000,0.540000
20/01/1981,Deutsche mark,0.4600,2.00600,0.229312
20/01/1981,French franc,0.7400,4.63820,0.159545
20/01/1981,Japanese yen,34.0000,201.42000,0.168802
20/01/1981,U.K. pound,0.0710,2.41150,0.171217
20/01/1981,U.S. dollar,0.5400,1.00000,0.540000
21/01/1981,Deutsche mark,0.4600,1.98850,0.231330
21/01/1981,French franc,0.7400,4.60400,0.160730
21/01/1981,Japanese yen,34.0000,198.50000,0.171285
21/01/1981,U.K. pound,0.0710,2.42600,0.172246
21/01/1981,U.S. dollar,0.5400,1.00000,0.540000
22/01/1981,Deutsche mark,0.4600,2.01070,0.228776
22/01/1981,French franc,0.7400,4.65050,0.159123
22/01/1981,Japanese yen,34.0000,200.47000,0.169601
22/01/1981,U.K. pound,0.0710,2.41780,0.171664
22/01/1981,U.S. dollar,0.5400,1.00000,0.540000
23/01/1981,Deutsche mark,0.4600,2.02850,0.226769
23/01/1981,French franc,0.7400,4.68700,0.157884
23/01/1981,Japanese yen,34.0000,201.72000,0.168550
23/01/1981,U.K. pound,0.0710,2.40500,0.170755
23/01/1981,U.S. dollar,0.5400,1.00000,0.540000
26/01/1981,Deutsche mark,0.4600,2.04830,0.224576
26/01/1981,French franc,0.7400,4.72820,0.156508
26/01/1981,Japanese yen,34.0000,202.82000,0.167636
26/01/1981,U.K. pound,0.0710,2.40450,0.170720
26/01/1981,U.S. dollar,0.5400,1.00000,0.540000
27/01/1981,Deutsche mark,0.4600,2.05880,0.223431
27/01/1981,French franc,0.7400,4.74900,0.155822
27/01/1981,Japanese yen,34.0000,202.65000,0.167777
27/01/1981,U.K. pound,0.0710,2.41450,0.171430
27/01/1981,U.S. dollar,0.5400,1.00000,0.540000
28/01/1981,Deutsche mark,0.4600,2.08310,0.220825
28/01/1981,French franc,0.7400,4.80000,0.154167
28/01/1981,Japanese yen,34.0000,203.22000,0.167306
28/01/1981,U.K. pound,0.0710,2.40580,0.170812
28/01/1981,U.S. dollar,0.5400,1.00000,0.540000
29/01/1981,Deutsche mark,0.4600,2.09180,0.219906
29/01/1981,French franc,0.7400,4.82000,0.153527
29/01/1981,Japanese yen,34.0000,203.87000,0.166773
29/01/1981,U.K. pound,0.0710,2.40150,0.170507
29/01/1981,U.S. dollar,0.5400,1.00000,0.540000
30/01/1981,Deutsche mark,0.4600,2.11450,0.217546
30/01/1981,French franc,0.7400,4.87000,0.151951
30/01/1981,Japanese yen,34.0000,205.72000,0.165273
30/01/1981,U.K. pound,0.0710,2.38600,0.169406
30/01/1981,U.S. dollar,0.5400,1.00000,0.540000
