time,temperature,indice_base_100,decade,rolling_avg_5y
1950,11.64,100.0,1950,0.0
1951,11.36,97.59,1950,0.0
1952,11.36,97.59,1950,0.0
1953,11.39,97.85,1950,0.0
1954,10.58,90.89,1950,11.27
1955,11.52,98.97,1950,11.24
1956,10.05,86.34,1950,10.98
1957,11.37,97.68,1950,10.98
1958,11.46,98.45,1950,11.0
1959,12.18,104.64,1950,11.32
1960,11.37,97.68,1960,11.29
1961,12.45,106.96,1960,11.77
1962,10.83,93.04,1960,11.66
1963,10.33,88.75,1960,11.43
1964,11.66,100.17,1960,11.33
1965,10.76,92.44,1960,11.21
1966,11.23,96.48,1960,10.96
1967,11.37,97.68,1960,11.07
1968,11.13,95.62,1960,11.23
1969,10.76,92.44,1960,11.05
1970,10.84,93.13,1970,11.07
1971,10.89,93.56,1970,11.0
1972,10.98,94.33,1970,10.92
1973,10.85,93.21,1970,10.86
1974,11.07,95.1,1970,10.93
1975,11.03,94.76,1970,10.96
1976,11.21,96.31,1970,11.03
1977,11.13,95.62,1970,11.06
1978,10.72,92.1,1970,11.03
1979,11.13,95.62,1970,11.04
1980,10.47,89.95,1980,10.93
1981,11.07,95.1,1980,10.9
1982,12.11,104.04,1980,11.1
1983,11.9,102.23,1980,11.34
1984,10.92,93.81,1980,11.29
1985,10.92,93.81,1980,11.38
1986,11.6,99.66,1980,11.49
1987,11.56,99.31,1980,11.38
1988,12.09,103.87,1980,11.42
1989,12.67,108.85,1980,11.77
1990,12.36,106.19,1990,12.06
1991,11.87,101.98,1990,12.11
1992,12.1,103.95,1990,12.22
1993,11.97,102.84,1990,12.19
1994,13.11,112.63,1990,12.28
1995,11.97,102.84,1990,12.2
1996,11.4,97.94,1990,12.11
1997,12.69,109.02,1990,12.23
1998,11.86,101.89,1990,12.21
1999,12.04,103.44,1990,11.99
2000,12.45,106.96,2000,12.09
2001,12.25,105.24,2000,12.26
2002,12.64,108.59,2000,12.25
2003,13.34,114.6,2000,12.54
2004,12.15,104.38,2000,12.57
2005,11.85,101.8,2000,12.45
2006,12.9,110.82,2000,12.58
2007,12.28,105.5,2000,12.5
2008,12.06,103.61,2000,12.25
2009,12.85,110.4,2000,12.39
2010,11.32,97.25,2010,12.28
2011,13.38,114.95,2010,12.38
2012,12.46,107.04,2010,12.41
2013,11.71,100.6,2010,12.34
2014,13.17,113.14,2010,12.41
2015,13.29,114.18,2010,12.8
2016,12.7,109.11,2010,12.67
2017,13.11,112.63,2010,12.8
2018,14.05,120.7,2010,13.26
2019,13.6,116.84,2010,13.35
2020,14.19,121.91,2020,13.53
2021,12.74,109.45,2020,13.54
2022,14.83,127.41,2020,13.88
2023,14.15,121.56,2020,13.9
2024,13.68,117.53,2020,13.92
